epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,567.689,1.67508,2.99608,1.76526,0.10214,0.18017,0.06589,0.02585,1.89284,4.00052,2.12897,0.000542437,0.000542437,0.000542437
2,1115.34,1.69542,2.335,1.75343,0.08521,0.13081,0.05365,0.01687,2.42258,7.53996,3.09719,0.00107636,0.00107636,0.00107636
3,1662.47,1.81689,2.5095,1.85947,0.20656,0.20574,0.05149,0.01485,2.37475,19.7711,3.22195,0.00158828,0.00158828,0.00158828
4,2209.79,1.83752,2.38387,1.84853,0.17535,0.17402,0.07455,0.02951,2.26615,5.31436,2.54404,0.00156798,0.00156798,0.00156798
5,2755.56,1.79626,2.29841,1.82257,0.58246,0.20329,0.08265,0.03081,2.1181,10.012,2.38541,0.00153497,0.00153497,0.00153497
6,3297.25,1.76484,2.28577,1.81097,0.6635,0.15159,0.15041,0.06532,1.97794,3.07898,2.1167,0.00150197,0.00150197,0.00150197
7,3841.42,1.70275,2.18616,1.73766,0.2513,0.21063,0.19809,0.08711,1.97078,2.63011,2.07039,0.00146896,0.00146896,0.00146896
8,4393.98,1.67959,2.15139,1.75262,0.28756,0.16953,0.14485,0.05941,2.07732,3.39647,2.18769,0.00143595,0.00143595,0.00143595
9,4870.32,1.69063,2.08216,1.73495,0.34264,0.35983,0.30874,0.15022,1.75768,2.09208,1.82322,0.00140295,0.00140295,0.00140295
10,5399.43,1.63926,1.98728,1.68728,0.22467,0.36631,0.23488,0.11496,1.75196,2.77447,1.88701,0.00136994,0.00136994,0.00136994
11,5940.79,1.60752,1.97627,1.67241,0.25111,0.32166,0.24401,0.1224,1.75762,2.17306,1.85844,0.00133693,0.00133693,0.00133693
12,6487.02,1.55922,1.9035,1.6506,0.3448,0.36224,0.32021,0.1704,1.62075,2.03339,1.75637,0.00130393,0.00130393,0.00130393
13,7029.76,1.54354,1.86578,1.63194,0.6093,0.33604,0.38511,0.19821,1.59539,1.85474,1.70894,0.00127092,0.00127092,0.00127092
14,7569.72,1.49321,1.76557,1.58338,0.43954,0.37321,0.369,0.20109,1.54494,1.88631,1.69231,0.00123791,0.00123791,0.00123791
15,8111.33,1.4527,1.73428,1.57161,0.3902,0.42326,0.39736,0.20889,1.57776,1.84114,1.71691,0.00120491,0.00120491,0.00120491
16,8651.37,1.47836,1.75575,1.58503,0.43343,0.37727,0.37199,0.19789,1.54248,2.07407,1.68022,0.0011719,0.0011719,0.0011719
17,9193.99,1.4245,1.67115,1.54105,0.53315,0.46079,0.47362,0.26224,1.45739,1.66148,1.60478,0.00113889,0.00113889,0.00113889
18,9734.59,1.41129,1.62329,1.53022,0.4673,0.50367,0.49378,0.29275,1.34881,1.48586,1.49662,0.00110589,0.00110589,0.00110589
19,10294.9,1.39737,1.56499,1.51016,0.52923,0.49167,0.49343,0.29172,1.35509,1.48212,1.50055,0.00107288,0.00107288,0.00107288
20,10855,1.34744,1.5237,1.47646,0.51365,0.45471,0.47995,0.28741,1.38012,1.53166,1.51524,0.00103987,0.00103987,0.00103987
21,11405.4,1.36609,1.54316,1.49477,0.56668,0.46408,0.4919,0.26614,1.52258,1.80115,1.67059,0.00100687,0.00100687,0.00100687
22,11944.4,1.32965,1.48033,1.46491,0.58724,0.54713,0.56955,0.3374,1.29915,1.45411,1.44902,0.000973861,0.000973861,0.000973861
23,12482.9,1.31061,1.41069,1.44103,0.6179,0.54854,0.59512,0.36268,1.21966,1.28126,1.40398,0.000940855,0.000940855,0.000940855
24,13025.8,1.30795,1.45741,1.43036,0.58356,0.52737,0.55203,0.31722,1.34359,1.46722,1.51649,0.000907848,0.000907848,0.000907848
25,13566.3,1.27498,1.45578,1.43123,0.66544,0.58571,0.64949,0.40174,1.22221,1.19904,1.39839,0.000874842,0.000874842,0.000874842
26,14115.5,1.26639,1.37616,1.40945,0.57629,0.55327,0.57242,0.35442,1.26205,1.36223,1.44757,0.000841835,0.000841835,0.000841835
27,14657.4,1.25373,1.33466,1.40947,0.64132,0.67557,0.69273,0.4408,1.16844,1.12953,1.36436,0.000808828,0.000808828,0.000808828
28,15196.8,1.23181,1.2885,1.38244,0.63421,0.6152,0.66465,0.40353,1.25402,1.24188,1.42558,0.000775822,0.000775822,0.000775822
29,15736.2,1.23885,1.2951,1.39085,0.7358,0.58698,0.67901,0.42366,1.23782,1.17948,1.39771,0.000742815,0.000742815,0.000742815
30,16278.3,1.23141,1.26519,1.3758,0.76115,0.60801,0.70803,0.46801,1.11675,1.0791,1.32272,0.000709809,0.000709809,0.000709809
31,16865.7,1.17417,1.2044,1.34718,0.72268,0.71514,0.75995,0.52751,1.03027,0.93794,1.2452,0.000676802,0.000676802,0.000676802
32,17428.4,1.18291,1.1898,1.35245,0.77405,0.68121,0.76225,0.51817,1.03006,0.92347,1.26167,0.000643795,0.000643795,0.000643795
33,17929,1.13993,1.1544,1.3192,0.74862,0.64242,0.74759,0.51299,1.01451,0.97841,1.24381,0.000610789,0.000610789,0.000610789
34,18491.7,1.16263,1.13396,1.33669,0.71982,0.75956,0.79692,0.55532,0.99103,0.8566,1.22529,0.000577782,0.000577782,0.000577782
35,19046.9,1.12269,1.08917,1.31745,0.81815,0.73688,0.82499,0.57973,0.95636,0.8214,1.19508,0.000544776,0.000544776,0.000544776
36,19611.1,1.08394,1.04647,1.28267,0.74687,0.73553,0.80034,0.54737,1.04097,0.88804,1.24825,0.000511769,0.000511769,0.000511769
37,20112.9,1.09905,1.03311,1.28547,0.83636,0.78496,0.86045,0.61571,0.9288,0.75174,1.16447,0.000478762,0.000478762,0.000478762
38,20676,1.0246,0.96606,1.24607,0.80689,0.76079,0.84719,0.61316,0.90178,0.74088,1.14409,0.000445756,0.000445756,0.000445756
39,21236.4,1.04865,0.97321,1.25181,0.84583,0.79303,0.87563,0.63595,0.89254,0.75087,1.15043,0.000412749,0.000412749,0.000412749
40,21794.9,1.03325,0.95829,1.241,0.83973,0.79353,0.87064,0.62449,0.93191,0.75547,1.16898,0.000379743,0.000379743,0.000379743
41,22385.4,1.03735,0.94512,1.27689,0.86247,0.75729,0.86163,0.63693,0.86568,0.74016,1.13691,0.000346736,0.000346736,0.000346736
42,22871.3,0.95648,0.82148,1.21877,0.87628,0.77637,0.883,0.65898,0.84619,0.69684,1.12291,0.000313729,0.000313729,0.000313729
43,23425.3,0.95317,0.79952,1.21427,0.86893,0.80852,0.89777,0.6757,0.83429,0.65884,1.10381,0.000280723,0.000280723,0.000280723
44,23977.8,0.89009,0.70029,1.161,0.89493,0.85023,0.92659,0.70079,0.78586,0.59069,1.06756,0.000247716,0.000247716,0.000247716
45,24529.2,0.88963,0.70083,1.16265,0.89073,0.86679,0.9255,0.70743,0.78048,0.59268,1.068,0.00021471,0.00021471,0.00021471
46,25080.5,0.87963,0.69097,1.16861,0.9074,0.85296,0.9257,0.7169,0.76202,0.56039,1.05254,0.000181703,0.000181703,0.000181703
47,25633.3,0.8509,0.65519,1.14451,0.92627,0.87735,0.94356,0.73736,0.73788,0.53833,1.03775,0.000148696,0.000148696,0.000148696
48,26184.1,0.82117,0.64716,1.12603,0.9206,0.90903,0.95349,0.74113,0.72888,0.52479,1.02635,0.00011569,0.00011569,0.00011569
49,26735.8,0.79616,0.62118,1.10327,0.93593,0.89196,0.95217,0.7499,0.70532,0.50691,1.01728,8.26832e-05,8.26832e-05,8.26832e-05
50,27289.1,0.80601,0.61518,1.11328,0.93069,0.89966,0.95512,0.75818,0.69245,0.49275,1.00723,4.96766e-05,4.96766e-05,4.96766e-05
